,Time_s,Speaker,Probability,Country,Gender
1,37,Steve Carell,0.32316464,USA,m
2,37,Jim Caviezel,0.10071182,USA,m
0,38,Steve Carell,0.67423004,USA,m
1,38,Joseph Gordon-Levitt,0.10936785,USA,m
2,38,Jack Coleman,0.048722267,USA,m
0,39,Steve Carell,0.5008628,USA,m
1,39,Manish Dayal,0.21074596,USA,m
2,39,Joseph Gordon-Levitt,0.07694859,USA,m
0,40,Steve Carell,0.574862,USA,m
1,40,Jeremy Shada,0.08800808,USA,m
2,40,Mandy Patinkin,0.039273184,USA,m
0,41,Steve Carell,0.36688623,USA,m
1,41,Brett Davern,0.28865007,USA,m
2,41,Jeremy Shada,0.054158006,USA,m
0,42,Steve Carell,0.642876,USA,m
1,42,Brett Davern,0.074502625,USA,m
2,42,Mandy Patinkin,0.026818095,USA,m
0,43,Steve Carell,0.8982335,USA,m
1,43,Jack Lemmon,0.028370868,USA,m
2,43,Chris Colfer,0.012121891,USA,m
0,44,Steve Carell,0.5134959,USA,m
1,44,Sung Kang,0.16210374,USA,m
2,44,Jack Lemmon,0.06809645,USA,m
0,45,Steve Carell,0.6723578,USA,m
1,45,Jack Lemmon,0.0988786,USA,m
2,45,Peter Jackson,0.038526136,New Zealand,m
0,46,Steve Carell,0.35865238,USA,m
1,46,Steven Yeun,0.12464536,USA,m
2,46,Jack Lemmon,0.10540398,USA,m
0,47,Jack Lemmon,0.70681083,USA,m
1,47,Ang Lee,0.05774998,USA,m
2,47,Steven Yeun,0.035678048,USA,m
0,48,John Lloyd Young,0.2516099,USA,m
1,48,Ben Feldman,0.20552649,USA,m
2,48,Jack Lemmon,0.20318076,USA,m
0,49,David Attenborough,0.25236076,UK,m
1,49,Jack Lemmon,0.23917066,USA,m
2,49,Mark Gatiss,0.09648367,UK,m
0,50,Jack Lemmon,0.24159463,USA,m
1,50,Zach Galifianakis,0.1366187,USA,m
2,50,John Lloyd Young,0.11931378,USA,m
0,51,Richard Hammond,0.08460989,UK,m
1,51,Mark Gatiss,0.07499252,UK,m
2,51,John Simm,0.07474166,UK,m
0,52,Shane West,0.210987,USA,m
1,52,John Lloyd Young,0.053404555,USA,m
2,52,Ang Lee,0.052788522,USA,m
0,53,Johnny Galecki,0.21976809,USA,m
1,53,Harry Connick Jr.,0.20401275,USA,m
2,53,Tristan Wilds,0.13363382,USA,m
0,54,Tristan Wilds,0.23505141,USA,m
1,54,Harry Connick Jr.,0.23079875,USA,m
2,54,Zach Galifianakis,0.116216935,USA,m
0,55,Tristan Wilds,0.37846234,USA,m
1,55,Zach Galifianakis,0.2147402,USA,m
2,55,Harry Connick Jr.,0.15092717,USA,m
0,56,Tristan Wilds,0.3298455,USA,m
1,56,Harry Connick Jr.,0.094940744,USA,m
2,56,Zach Galifianakis,0.08666414,USA,m
0,57,Richard Madden,0.25934106,UK,m
1,57,Tristan Wilds,0.18191011,USA,m
2,57,Irrfan Khan,0.05724904,India,m
0,58,Xavier Samuel,0.07594136,Australia,m
1,58,Guillaume Canet,0.06697156,Norway,m
2,58,Harry Connick Jr.,0.06384057,USA,m
0,59,Aaron Tveit,0.24425296,USA,m
1,59,Alex Trebek,0.08507365,USA,m
2,59,Harry Connick Jr.,0.074440464,USA,m
0,60,Aaron Tveit,0.26732367,USA,m
1,60,Harry Connick Jr.,0.13734914,USA,m
2,60,Audrina Patridge,0.11262235,USA,f
0,61,John Lloyd Young,0.32838738,USA,m
1,61,Harry Connick Jr.,0.15322535,USA,m
2,61,Wentworth Miller,0.05019949,USA,m
0,62,John Lloyd Young,0.30163965,USA,m
1,62,Wentworth Miller,0.121982224,USA,m
2,62,Pierfrancesco Favino,0.10645924,Italy,m
0,63,Joe Flanigan,0.22179317,USA,m
1,63,James Lafferty,0.17176154,USA,m
2,63,David Attenborough,0.13358603,UK,m
0,64,Jack Lemmon,0.14251038,USA,m
1,64,David Attenborough,0.12796435,UK,m
2,64,Sung Kang,0.089700945,USA,m
0,65,Sela Ward,0.3063769,USA,f
1,65,Sung Kang,0.16172211,USA,m
2,65,Jennifer Saunders,0.05907281,UK,f
0,66,Gloria Steinem,0.25615177,USA,f
1,66,Jennifer Saunders,0.15992287,UK,f
2,66,John Lloyd Young,0.0563808,USA,m
0,67,John Lloyd Young,0.17497344,USA,m
1,67,Adam Beach,0.07951449,Canada,m
2,67,Xavier Samuel,0.07713606,Australia,m
0,68,Harry Connick Jr.,0.17809694,USA,m
1,68,Zach Galifianakis,0.1687371,USA,m
2,68,Aaron Tveit,0.11666157,USA,m
0,69,Harry Shum Jr.,0.30269983,USA,m
1,69,John Lloyd Young,0.07730212,USA,m
2,69,John Simm,0.046944723,UK,m
